,Germany,Italy,US,United Kingdom
2020-08-16,9231,35396,169991,57683
2020-08-17,9232,35400,170469,57704
2020-08-18,9236,35405,171696,57719
2020-08-19,9243,35412,172381,57732
2020-08-20,9253,35418,173481,57748
2020-08-21,9260,35427,174576,57758
2020-08-22,9267,35430,175531,57770
2020-08-23,9269,35437,176037,57787
2020-08-24,9272,35441,176470,57797
2020-08-25,9277,35445,177693,57819
2020-08-26,9280,35458,178851,57835
2020-08-27,9285,35463,179958,57847
2020-08-28,9288,35472,180880,57859
2020-08-29,9289,35473,181842,57867
2020-08-30,9295,35477,182282,57878
2020-08-31,9298,35483,182764,57896
2020-09-01,9302,35491,183831,57907
2020-09-02,9313,35497,184885,57922
2020-09-03,9321,35507,185907,57931
2020-09-04,9322,35518,186858,57946
2020-09-05,9324,35534,187651,57960
2020-09-06,9325,35541,188087,57973
2020-09-07,9325,35553,188410,57997
2020-09-08,9329,35563,188883,58013
2020-09-09,9338,35577,189983,58027
2020-09-10,9341,35587,190892,58043
2020-09-11,9342,35597,192034,58063
2020-09-12,9347,35603,192771,58086
2020-09-13,9349,35610,193165,58106
2020-09-14,9350,35624,193586,58127
2020-09-15,9362,35633,194777,58153
2020-09-16,9368,35645,195710,58184
2020-09-17,9371,35658,196560,58222
2020-09-18,9378,35668,197518,58252
2020-09-19,9384,35692,198184,58277
2020-09-20,9386,35707,198449,58317
2020-09-21,9386,35724,198861,58347
2020-09-22,9396,35738,199882,58386
2020-09-23,9409,35758,200933,58444
2020-09-24,9428,35781,201821,58478
2020-09-25,9443,35801,202735,58518
2020-09-26,9452,35818,203497,58565
2020-09-27,9457,35835,203801,58621
2020-09-28,9460,35851,204141,58676
2020-09-29,9471,35875,205035,58724
2020-09-30,9488,35894,205940,58785
2020-10-01,9500,35918,206836,58856
2020-10-02,9508,35941,207673,58930
2020-10-03,9527,35968,208345,59000
2020-10-04,9529,35986,208714,59063
2020-10-05,9534,36002,209189,59131
2020-10-06,9546,36030,209877,59215
2020-10-07,9562,36061,210783,59325
2020-10-08,9578,36083,211756,59422
2020-10-09,9589,36111,212718,59518
2020-10-10,9604,36140,213365,59625
2020-10-11,9615,36166,213828,59753
2020-10-12,9621,36205,214223,59873
2020-10-13,9634,36246,214963,59992
2020-10-14,9677,36289,215952,60115
2020-10-15,9710,36372,216792,60267
2020-10-16,9734,36427,217725,60429
2020-10-17,9767,36474,218514,60615
2020-10-18,9777,36543,218996,60782
2020-10-19,9789,36616,219507,60975
2020-10-20,9836,36705,220459,61185
2020-10-21,9875,36832,221627,61417
2020-10-22,9905,36968,222488,61659
2020-10-23,9954,37059,223444,61884
2020-10-24,10003,37210,224416,62103
2020-10-25,10032,37338,224868,62358
2020-10-26,10056,37479,225425,62640
2020-10-27,10098,37700,226447,62925
2020-10-28,10183,37905,227489,63206
2020-10-29,10272,38122,228484,63526
2020-10-30,10349,38321,229555,63878
2020-10-31,10452,38618,230494,64218
2020-11-01,10481,38826,231003,64577
2020-11-02,10530,39059,231601,64915
2020-11-03,10661,39412,233226,65292
2020-11-04,10812,39764,234344,65632
2020-11-05,10930,40192,235535,66020
2020-11-06,11096,40638,236754,66437
2020-11-07,11226,41063,237880,66854
2020-11-08,11289,41394,238455,67287
2020-11-09,11352,41750,239258,67780
2020-11-10,11506,42330,240698,68190
2020-11-11,11767,42953,242160,68599
2020-11-12,11982,43589,243402,69029
2020-11-13,12200,44139,244630,69479
2020-11-14,12378,44683,245999,69938
2020-11-15,12485,45229,246789,70395
2020-11-16,12547,45733,247666,70826
2020-11-17,12814,46464,249412,71292
2020-11-18,13119,47217,251351,71806
2020-11-19,13370,47870,253365,72291
2020-11-20,13630,48569,255341,72776
2020-11-21,13884,49261,256972,73274
2020-11-22,14022,49823,258048,73786
2020-11-23,14112,50453,259188,74294
2020-11-24,14361,51306,261375,74790
2020-11-25,14771,52028,263633,75289
2020-11-26,15160,52850,265026,75750
2020-11-27,15586,53677,266646,76210
2020-11-28,15965,54363,268055,76696
2020-11-29,16123,54904,269103,77197
2020-11-30,16248,55576,270481,77662
2020-12-01,16636,56361,273042,78087
2020-12-02,17123,57045,275819,78501
2020-12-03,17602,58038,278727,79005
2020-12-04,18034,58852,281393,79504
2020-12-05,18517,59514,283786,79911
2020-12-06,18772,60078,285206,80347
2020-12-07,18919,60606,286848,80813
2020-12-08,19342,61240,289448,81285
2020-12-09,19932,61739,292395,81733
2020-12-10,20372,62626,295310,82229
2020-12-11,20970,63387,298645,82720
2020-12-12,21466,64036,301150,83208
2020-12-13,21787,64520,302746,83688
2020-12-14,21975,65011,304442,84194
2020-12-15,22475,65857,307343,84701
2020-12-16,23427,66537,311026,85185
2020-12-17,24125,67220,314444,85752
2020-12-18,24938,67894,317373,86338
2020-12-19,25640,68447,320109,86886
2020-12-20,26049,68799,321808,87437
2020-12-21,26275,69214,323635,88039
2020-12-22,27006,69842,326966,88668
2020-12-23,27968,70395,330277,89297
2020-12-24,28770,70900,333135,89913
2020-12-25,28770,71359,334633,90568
2020-12-26,29422,71620,336545,91260
2020-12-27,29778,71925,337976,91978
2020-12-28,30126,72370,339875,92701
2020-12-29,30978,73029,343449,93414
2020-12-30,32107,73604,347305,94174
2020-12-31,33071,74159,350555,94998
2021-01-01,33071,74621,352760,95807
2021-01-02,33960,74985,355281,96640
2021-01-03,34272,75332,356707,97447
2021-01-04,34574,75680,358723,98343
2021-01-05,35518,76329,362295,99316
2021-01-06,36537,76877,366169,100330
2021-01-07,37607,77291,370168,101386
2021-01-08,38795,77911,374321,102438
2021-01-09,39878,78394,377523,103532
2021-01-10,40343,78755,379612,104705
2021-01-11,40686,79203,381469,105949
2021-01-12,41577,79819,385842,107269
2021-01-13,42637,80326,389829,108578
2021-01-14,43881,80848,393604,109919
2021-01-15,44994,81325,397420,111243
2021-01-16,45974,81800,400971,112662
2021-01-17,46419,82177,402953,114023
2021-01-18,46633,82554,404534,115424
2021-01-19,47622,83157,406937,116914
2021-01-20,48770,83681,411326,118297
2021-01-21,49783,84202,415429,119647
2021-01-22,50642,84674,419206,120982
2021-01-23,51521,85162,422729,122270
2021-01-24,51870,85461,424555,123509
2021-01-25,52087,85881,426337,124772
2021-01-26,52990,86422,430316,125945
2021-01-27,53972,86889,434380,127177
2021-01-28,54913,87381,438187,128401
2021-01-29,55752,87858,441750,129561
2021-01-30,56546,88279,444607,130587
2021-01-31,56945,88516,446538,131582
2021-02-01,57120,88845,448319,132589
2021-02-02,57981,89344,451855,133552
2021-02-03,58956,89820,455719,134528
2021-02-04,59742,90241,459602,135354
2021-02-05,60597,90618,463263,136228
2021-02-06,61286,91003,465990,137015
2021-02-07,61517,91273,467452,137768
2021-02-08,61675,91580,468902,138549
2021-02-09,62156,92002,471934,139272
2021-02-10,62969,92338,475295,139984
2021-02-11,63635,92729,478454,140660
2021-02-12,64191,93045,481292,141296
2021-02-13,64742,93356,483543,141882
2021-02-14,64960,93577,484694,142487
2021-02-15,65076,93835,485641,143102
2021-02-16,65604,94171,487285,143670
2021-02-17,66164,94540,489692,144176
2021-02-18,66698,94887,492250,144697
2021-02-19,67206,95235,494766,145166
2021-02-20,67696,95486,496681,145618
2021-02-21,67841,95718,497891,146029
2021-02-22,67903,95992,499101,146408
2021-02-23,68318,96348,501359,146789
2021-02-24,68740,96666,504575,147156
2021-02-25,69125,96974,506988,147511
2021-02-26,69519,97227,509119,147815
2021-02-27,69888,97507,510632,148123
2021-02-28,70045,97699,511718,148404
2021-03-01,70105,97945,513035,148701
2021-03-02,70463,98288,514948,148945
2021-03-03,70881,98635,517470,149163
2021-03-04,71240,98974,519394,149397
2021-03-05,71504,99271,521108,149619
2021-03-06,71804,99578,522627,149829
2021-03-07,71900,99785,523329,150026
2021-03-08,71934,100103,524048,150223
2021-03-09,72189,100479,525809,150408
2021-03-10,72489,100811,527345,150571
2021-03-11,72810,101184,528887,150744
2021-03-12,73062,101564,530310,150879
2021-03-13,73301,101881,531277,151014
2021-03-14,73371,102145,531792,151152
2021-03-15,73418,102499,532498,151291
2021-03-16,73656,103001,533749,151405
2021-03-17,73905,103432,534943,151532
2021-03-18,74132,103855,536574,151632
2021-03-19,74358,104241,537597,151736
2021-03-20,74565,104642,538367,151837
2021-03-21,74664,104942,539073,151964
2021-03-22,74714,105328,539627,152072
2021-03-23,74964,105879,540571,152167
2021-03-24,75212,106339,542033,152237
2021-03-25,75440,106799,543378,152316
2021-03-26,75623,107256,544534,152391
2021-03-27,75780,107636,545339,152456
2021-03-28,75870,107933,545781,152506
2021-03-29,75913,108350,546417,152577
2021-03-30,76093,108879,547308,152633
2021-03-31,76342,109346,548379,152707
2021-04-01,76543,109847,549479,152770
2021-04-02,76775,110328,550371,152820
2021-04-03,76895,110704,551127,152862
2021-04-04,76963,111030,551440,152915
2021-04-05,77013,111326,551906,152960
2021-04-06,77103,111747,552738,153005
2021-04-07,77401,112374,555340,153051
2021-04-08,77707,112861,556352,153113
2021-04-09,78003,113579,557255,153151
2021-04-10,78249,113923,558015,153194
2021-04-11,78353,114254,558307,153235
2021-04-12,78452,114612,558760,153273
2021-04-13,78746,115088,559624,153320
2021-04-14,79088,115557,560561,153355
2021-04-15,79381,115937,561468,153398
2021-04-16,79628,116366,562338,153430
2021-04-17,79847,116676,563047,153473
2021-04-18,79914,116927,563397,153504
2021-04-19,80006,117243,563893,153527
2021-04-20,80303,117633,564730,153562
2021-04-21,80634,117997,565628,153598
2021-04-22,80893,118357,566569,153631
2021-04-23,81158,118699,567332,153660
2021-04-24,81444,119021,568082,153684
2021-04-25,81564,119238,568391,153711
2021-04-26,81624,119539,568872,153732
2021-04-27,81968,119912,569538,153757
2021-04-28,82280,120256,570522,153778
2021-04-29,82544,120544,571406,153795
2021-04-30,82850,120807,572210,153811
2021-05-01,83082,121033,572959,153827
2021-05-02,83192,121177,573282,153846
2021-05-03,83276,121433,573768,153863
2021-05-04,83591,121738,574643,153878
2021-05-05,83876,122005,575457,153900
2021-05-06,84126,122263,576253,153917
2021-05-07,84410,122470,577011,153935
2021-05-08,84648,122694,577650,153955
2021-05-09,84775,122833,577913,153966
2021-05-10,84829,123031,578315,153974
2021-05-11,85112,123282,578995,153995
2021-05-12,85380,123544,579761,154010
2021-05-13,85658,123745,580508,154025
2021-05-14,85848,123927,581139,154039
2021-05-15,86025,124063,581663,154054
2021-05-16,86096,124156,581932,154068
2021-05-17,86160,124296,582334,154081
2021-05-18,86381,124497,583115,154092
2021-05-19,86665,124646,583769,154096
2021-05-20,86902,124810,584453,154103
2021-05-21,87128,125028,585055,154121
2021-05-22,87298,125153,585543,154125
2021-05-23,87380,125225,585748,154141
2021-05-24,87423,125335,586189,154157
2021-05-25,87456,125501,586828,154168
2021-05-26,87726,125622,587813,154182
2021-05-27,87995,125793,589163,154190
2021-05-28,88187,125919,589698,154204
2021-05-29,88350,126002,590026,154216
2021-05-30,88406,126046,590174,154225
2021-05-31,88442,126128,590355,154236
2021-06-01,88595,126221,590998,154246
2021-06-02,88774,126283,591558,154258
2021-06-03,88940,126342,592189,154274
2021-06-04,89026,126415,592706,154288
2021-06-05,89148,126472,593290,154295
2021-06-06,89222,126523,593459,154308
2021-06-07,89244,126588,593769,154314
2021-06-08,89384,126690,594077,154329
2021-06-09,89491,126767,594552,154346
2021-06-10,89585,126855,594955,154362
2021-06-11,89687,126924,595481,154375
2021-06-12,89816,126976,595749,154387
2021-06-13,89834,127002,595861,154399
2021-06-14,89844,127038,596050,154412
2021-06-15,89937,127101,596373,154433
2021-06-16,90074,127153,596756,154449
2021-06-17,90179,127190,597055,154458
2021-06-18,90270,127225,597655,154476
2021-06-19,90270,127253,597825,154496
2021-06-20,90385,127270,597904,154518
2021-06-21,90395,127291,598164,154531
2021-06-22,90472,127322,598508,154549
2021-06-23,90523,127352,598894,154558
2021-06-24,90616,127362,599235,154587
2021-06-25,90678,127418,599763,154609
2021-06-26,90746,127458,599924,154626
2021-06-27,90754,127472,599999,154650
2021-06-28,90762,127500,600158,154668
2021-06-29,90819,127542,600487,154692
2021-06-30,90875,127566,600787,154718
2021-07-01,90938,127587,601070,154746
2021-07-02,91007,127615,601504,154778
2021-07-03,91007,127637,601587,154809
2021-07-04,91007,127649,601627,154839
2021-07-05,91031,127680,601748,154868
2021-07-06,91062,127704,602054,154903
2021-07-07,91110,127718,602381,154939
2021-07-08,91141,127731,602631,154981
2021-07-09,91190,127756,603093,155034
2021-07-10,91190,127768,603171,155079
2021-07-11,91190,127775,603292,155115
2021-07-12,91233,127788,603527,155158
2021-07-13,91259,127808,603884,155208
2021-07-14,91287,127831,604211,155255
2021-07-15,91319,127840,604567,155309
2021-07-16,91337,127851,605020,155364
2021-07-17,91337,127864,605092,155424
2021-07-18,91337,127867,605187,155497
2021-07-19,91363,127874,605385,155585
2021-07-20,91397,127884,605675,155653
2021-07-21,91416,127905,606038,155714
2021-07-22,91458,127920,606326,155800
2021-07-23,91492,127937,606878,155883
2021-07-24,91492,127942,607014,155952
2021-07-25,91492,127949,607116,156025
2021-07-26,91527,127971,607366,156104
2021-07-27,91565,127995,607824,156181
2021-07-28,91586,128010,608207,156265
2021-07-29,91607,128029,608525,156353
2021-07-30,91637,128047,609410,156458
2021-07-31,91637,128063,609586,156550
